Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression,,,,2021-12-07 16:42:51,2021-12-07 16:44:04,1m - 12.595s,PASSED
,,,,,,,
Test Cases/Start page/Login Email,,,,2021-12-07 16:42:51,2021-12-07 16:43:24,32.721s,PASSED
"startExistingApplication(""com.gigantic.clawee"", STOP_ON_FAILURE)",,,,2021-12-07 16:42:52,2021-12-07 16:43:03,11.783s,PASSED
"checkElement(findTestObject(""Start page/logoClawee""), 0)",,,,2021-12-07 16:43:03,2021-12-07 16:43:15,11.835s,PASSED
"tap(findTestObject(""Start page/Connect button/Connect with Email/Connect with E-mail""), 0)",,,,2021-12-07 16:43:15,2021-12-07 16:43:16,0.432s,PASSED
"setText(findTestObject(""Start page/Connect button/Connect with Email/First name""), ""Alexander"", 0)",,,,2021-12-07 16:43:16,2021-12-07 16:43:18,2.086s,PASSED
"setText(findTestObject(""Start page/Connect button/Connect with Email/Last name""), ""Testing"", 0)",,,,2021-12-07 16:43:18,2021-12-07 16:43:19,1.661s,PASSED
"setText(findTestObject(""Start page/Connect button/Connect with Email/E-mail""), ""Alex.qa.eng+77@gmail.com"", 0)",,,,2021-12-07 16:43:19,2021-12-07 16:43:21,1.647s,PASSED
"setText(findTestObject(""Start page/Connect button/Connect with Email/Password""), ""Alex0611"", 0)",,,,2021-12-07 16:43:21,2021-12-07 16:43:23,1.639s,PASSED
"tap(findTestObject(""Start page/Connect button/Connect with Email/Sign Up""), 0)",,,,2021-12-07 16:43:23,2021-12-07 16:43:24,1.351s,PASSED
,,,,,,,
Test Cases/Start page/6 welcome screens,,,,2021-12-07 16:43:24,2021-12-07 16:43:50,25.776s,PASSED
"tap(findTestObject(""Start game/6 welcome screens/Next""), 0)",,,,2021-12-07 16:43:24,2021-12-07 16:43:45,21.187s,PASSED
"tap(findTestObject(""Start game/6 welcome screens/Next""), 0)",,,,2021-12-07 16:43:45,2021-12-07 16:43:46,1.115s,PASSED
"tap(findTestObject(""Start game/6 welcome screens/Next""), 0)",,,,2021-12-07 16:43:46,2021-12-07 16:43:48,1.116s,PASSED
"tap(findTestObject(""Start game/6 welcome screens/Next""), 0)",,,,2021-12-07 16:43:48,2021-12-07 16:43:49,1.083s,PASSED
"tap(findTestObject(""Start game/6 welcome screens/Next""), 0)",,,,2021-12-07 16:43:49,2021-12-07 16:43:50,1.083s,PASSED
,,,,,,,
Test Cases/Start page/Play for real,,,,2021-12-07 16:43:50,2021-12-07 16:44:04,13.791s,PASSED
"tap(findTestObject(""Start game/6 welcome screens/Lets Go""), 0)",,,,2021-12-07 16:43:50,2021-12-07 16:44:04,13.620s,PASSED
